Id,English,Hindi
15510,Refiner,परिष्कारक
15511,Refit,"दुरुस्त करना, मरम्मत करना, मरम्मत"
15512,Reflected glory,चमचमाता यश
15513,Reflect,"परावर्तित करना, प्रतिबिंबित करना, विचार करना, दर्शाना, प्रतिबिम्बित करना"
15514,Reflection,"परावर्तन, प्रतिबिंबन, स्मृतिकथा, चिंतन, झलक, प्रतिबिम्ब, चिन्तन, गहन चिन्तन, चिन्तन"
15515,Reflector,"रिङ्लेक्टर, परावरतक, परावर्ती दूरदर्शक"
15516,Reflex angle,बृहत्कोण
15517,Reflex camera,प्रतिवर्ती कैमरा
15518,Reform,"सुधारना, सुधार"
15519,Re form,पुनर्गठन करना
15520,Refrain,"परहेज करना, दूर रहना, चिर-परिचित पुकार, स्थायी, टेक"
15521,Refresher course,पुनश्चर्या पाठ्यक्रम
15522,Refresh memory,याद को ताज़ा करना
15523,Refreshment,"जलपान, ताज़गी"
15524,Refreshments,जलपान
15525,Refrigerator,रेफ्रिजरेटर
15526,Refuel,दुबारा ईंधन भरना
15527,Refugee,शरणार्थी
15528,Refuge,"शरण, सहारा, यातायात चक्कर, आश्रय, आश्रय स्थान"
15529,Refusal,"असम्मति, इन्कार, अस्वीकरणाधिकार"
15530,Refuse,"अस्वीकार करना, कूड़ा कर्कट, कचरा, कूड़ा, असार, तलछट, अवशिष्ट, अस्वीकार करना, कचरा, परित्यक्त, प्रतिषेध करना, इन्कार करना, न मानना, न मानना, मना करना"
15531,Refuse collector,सफ़ाई कर्मी
15532,Regain,पुनः प्राप्त करना
15533,Regale with,मनोरंजन कराना
15534,Regard as,समझना
15535,Regard,"सोचना, सम्मान, देखना, परवाह करना, नमस्कार, घूरना, समझना, परवाह, ध्यान, कद्र करना"
15536,Regarding,"के बारे में, से संबंधित"
15537,Regenerate,नया जीवन प्रदान करना
15538,Regeneration,"पुनरुज्जीवन, पुनरुद्धार, संपोषण, पुनरुत्पादन"
15539,Reggae,रेगे
15540,Regime,"पथ्यापथ्य नियम, दौर, शासन पद्वति, शासन"
15541,Regiment,"सैन्य दल संगठित करना, अनुशासित करना, दल, रेजिमेंट, सैन्य दल"
15542,Region,"प्रदेश, क्षेत्र"
15543,Registered mail,पंजीकृत डाक
15544,Registered nurse,पंजीकृत परिचारिका
15545,Register,"रजिस्टर, रजिस्टर, धातु की चादर, रजिस्ट्री करना, ध्यान में चढना, दर्ज करना, स्वर-स्थानअ, बताना, गौर करना, प्रकट करना, पंजिबद्ध कराना, दर्ज कराना"
15546,Register office,अभिलेख-कार्यालय
15547,Registrar,"रजिस्ट्रार, अभिलेखी, पंजीयक"
15548,Registration,"पंजीयन, रजिस्ट्री"
15549,Registration number,पंजीकरण संख्या
15550,Registry office,अभिलेख-कार्यालय
15551,Regius professor,रीजिअस प्रोफेसर
15552,Regret,"पछताना, पछतावा, खेद होना, खेद होना, खेद प्रकट करना"
15553,Regular,"नियमित, पूरा, नियमित, सुव्यवस्थिक, नियमित सैनिक, नियमित, नियमित सैनिक, योग्य, बराबर, रोज का ग्राहक, स्थायी"
15554,Regularity,नियमितता
15555,Regulate,"नियंत्रित करना, नियन्ट्रित करना, नियन्ट्रित करना"
15556,Regulation,"विनियमन, विनियम, अधिनियम, नियम, नियन्त्रण"
15557,Regulation setting,नियम-निर्धारण
15558,Regulator,नियामक
15559,Regulatory,"नियंत्रक, नियामक"
15560,Rehearsal,पूर्वाभ्यास
15561,Reign,"छा जाना, आधिपत्य करना, शासन करना, शासन"
15562,Rein back,रोकना
15563,Rein,"लगाम देना, लगाम खींचना, लगाम, लगाम"
15564,Reinforced concrete,प्रबलित ककंरीट
15565,Reinforce,"समर्थन करना, मजबूत बनाना, बढ़ाना, सुदृढ़ बनाना"
15566,Reinforcement,"संबलनअ, सुदृढ़ीकरणअ, मजबूती, कुमुक"
15567,Rein in,"लगाम खींचना, लगाम खींच कर रोकना, लगाम खींच कर रुकना, नियंट्रित करना, रोकना"
15568,Reject,"रद्द कर देना, बेकार, फेंक देना, बेकार वस्तु, अस्वीकार करना, उपेक्षित करना, निकाल देना"
15569,Rejoice,आनन्दित होना
15570,Rejoice in,मौज-मस्ती करना
15571,Humanistic,मानववादी
15572,Related,"संबंधित, संबंधितआ"
15573,Related to,से संबंधित
15574,Relate,"संबंध रखना, बताना, में संबंध स्थापित करना"
15575,Relate to,"समझना, से संबन्धित, सम्बन्ध रखना, ताल-मेल रखना, जुड़ना"
15576,Relation,"सम्बन्ध, रिश्तेदार, सम्बन्ध, लौकिक सम्बन्ध"
15577,Relationship,"नाता, रिश्ता, सम्बन्धअ, सम्बन्ध, संबंध"
15578,Relative,"नातेदार, सापेक्ष, सापेक्ष, सम्बन्ध सूचक, सापेक्ष, सम्बन्धी, रिश्तेदार, रिश्तेदार, अनुरूप, परस्पर सम्बन्धित, तुलनात्मक, संबन्द्धित"
15579,Relatively,"पूर्णतया, अपेक्षाकृत"
15580,Relativism,सापेक्षवाद
15581,Relativity,"आपेक्षिकता, सापेक्षता सिद्धांत"
15582,Relax,"कम कर देना, आराम करना, शांत हो जाना, शिथिल करना, ढिलाई देना, शिथिल पड़ जाना, कम करना"
15583,Relay,"रिले करना, प्रसारित करना, आगे भेजना, नई टोली, आगे भेजना, चौकी दौड़, रिले, टोली, रिले"
15584,Re lay,"फिर से लगाअना, फिर से बिछाना, पुनः डालना"
15585,Relay race,"रिले दौड़े, चौकी दौड़"
15586,Release,"छोड़ देना, अभिव्यक्ति मार्ग, चुकौती, भुगतान, निरवरोध करना, स्रावित करना, प्रकाशन, रिलीज करना, खोलना, बताना, रिहा करना, पास करना, निकालना, मुक्ति देना, निकलना, रिहाई, छोड़ना, मुक्ति, छुटकारा देना"
15587,Relegate,फेंक देना
15588,Relevance,"संबद्ध, प्रासंगिकता"
15589,Relevancy,प्रासंगिकता
15590,Relevant,"सुसंगत, संबद्ध, सम्बद्ध, प्रासंगिक"
15591,Reliable,"विश्वसनीय, अच्छा, भरोसेमंद"
15592,Reliance,"विश्वास, आसरा"
15593,Relief,"राहत, मुक्ति, स्थानापन्न, उभार, सहायता, एवजी, मुक्ति, नक्काशी, राहत, बदलाव"
15594,Relief map,उभारदार नक़्शा
15595,Relief of,राहत मलना
15596,Relief road,सहायक सड़क
15597,Relieve,"कम करना, मूट्र त्यागना, दूर करना, छोड़ना, कम करना, उठाना, हल्का करना"
15598,Relieve of,"चुराना, उतारने में मदद करना, पदच्युत करना, भार ले लेना"
15599,Religion,"धर्म, भक्ति, धर्म"
15600,Religious,"धार्मिक, सन्यासिनी, धार्मिक, दार्मिक, सन्यासी, भक्त, ईमानदार"
15601,Relocate,"पुनर्स्थापित करना, पुनर्स्थापित होना"
15602,Rely,"विश्वास करना, निर्भर होना"
15603,Rely on,"आश्रित होना, पर विश्वास रखना, निर्भर करना, पर निर्भर होना"
15604,Rely upon,पर निर्भर होना
15605,Remain,"ठहरना, शेष रहना, ठहरना, शेष रहना, बना रहना, बाकी बचना, रहना, भग्नावशेष, बचा खुचा हिस्सा, अप्रकाशित रचना, अवशेष"
15606,Remains,"लाश, अवशेष, भग्नावशेषअ, बचा खुचा हिस्सा"
15607,Remand centre,हिरासत
15608,Remarkable,"विलक्षण, असाधारण, विशिष्ट"
15609,Remarkably,"आश्चर्यजनक ढंग से, उल्लेखनीयता से"
15610,Remark,"टिप्पणी करना,  करना, ध्यान देना, टिप्पणी करना, टिप्पणी करना, टिप्पणि करना"
15611,Remedy,"इलाज, दवा, उपाय, सुधारना, ठीक करना"
15612,Remember,"याद करना, याद रखना, याद करना, याद करना, याद करना, याद रखना, स्मरण रखना"
15613,Remember to,"नमस्कार कहना, बधाई देना"
15614,Remembrance Day,स्मारक रविवार
15615,Remembrance,निशानी
15616,Remembrance Sunday,स्मारक रविवार
15617,Remind,"स्मरण कराना, याद दिलाना, चिताना, याद दिलाना"
15618,Remind of,याद दिलाना
15619,Remit to,भेजना
15620,Remorse,पश्चाताप
15621,Remote,"अल्प, अलग, बेमिलनसार, दूरवर्ती, दूर का, सुदूर, सुदूरवर्ती"
15622,Remote control,रिमोट कंट्रोल
15623,Remoteness,दूर्
15624,Remove,"हटाना, दुर करना, हटाना, अन्यट्र ले जाना, हटाना, निकालना, बर्खास्त करना, पदच्युत करना, निकाल देएना, दूर करना, चले जाना, दूर करना, हटाना, निकालना"
15625,Remover,"मिटाने वाला, हटाने वाला, सामान स्थानान्तरित करने वाला"
15626,Renaissance,"पुनर्जागरण काल, नवजागरण, नवजागरणकाल"
15627,Render down,पिघलाना
15628,Render,"पैदा करना, देना, अनुवाद करना, पेश करना, पलस्तर करना, प्रस्तुत करना, देना, बना देना"
15629,Rendezvous,"पूर्वनिश्चित समय और स्थान पर मिलना, मिलनस्थल, पूर्वनिश्चित मुलाकात, पूर्वनिश्चित मुलाकात्"
15630,Renege,"इन्कार करना, मुकर जाना, पत्ता दबाना"
15631,Renewal,"पुनःस्थापन, नवीनीकरण, परती ज़मीन का कृषीकरण"
15632,Renounce,"त्याग देना, छोड़ देना, परित्याग कर देना, गद्दी छोड़ देना, त्याग देना"
15633,Renowned,विशिष्ट
15634,Renown,"प्रसिद्धि, ख्याति"
15635,Rent free,किराया-मुक्त
15636,Rent,"किराये पर देना, भाड्ॅए पर उठाना, चीरा, भाड़ा, किराये पर देना, किराये पर देना, भाड़े पर लेना, किराये पर लेना, किराये पर लेना, भाड्ॅए पर देना, चीर, भाड़े पर लेना, किराया होना, भाड्ॅए पर देना, भाड़ा"
15637,Reopen,"फिर से शुरू करना, फिर से खुलना, फिर से खोलना, फिर से शुरू"
15638,Repair,"सुधारना, मरम्मत करना, लौट जाना, जान डाल देना, मरम्मत, मरम्मती, बनाना, सुधारना, इलाज करना, सुधारना, सुधारना, पूरा करना, सुधारना, सुधारना"
15639,Repair to,"ना, एकट्रना"
15640,Reparation,"मुआवज़ा, प्रायश्चित, मरम्मती, हरजाना"
15641,Repatriate,"स्वदेश भेजना, स्वदेश लौटना, देशप्रत्यावर्तित व्यक्ति"
15642,Repay,"वापस करना, चुकाना, वापस लौटाना, बदला चुकाना, भुगतान करना, सार्थक होना"
15643,Repeat,"दोहराना, पुनर्प्रसारण, आवृत्ति, पुनराव्रत्ति करना, टुनटुनाना, पुनरावृत्ति, पुन्ः माल भेजना, बार बार होना, पुनरादेश, पुनराव्रत्ति, दुबारा घटित होना, दोहराना, पुनराव्रत्ति करना"
15644,Repeater,"आवर्ती अपराधी, दोहराने वाला, रिपीटर, आवर्तक, आवर्ती बंदूक"
15645,Repel,"रोकना, मार भगा करना, प्रतिरोध करना, घृणा उत्पन्न करना, दूरअना, प्रतिकर्षित करना"
15646,Repentant,"पश्चातापी, पश्चात्तापी"
15647,Repent,"पछताना, पश्चाताप करना"
15648,Repetition,"पुनः प्रसारण, दोहराव, पुनरावृत्ति, पुनरावृत्ति"
15649,Rep,"प्रतिनिधि, विक्रय प्रतिनिधि, धारीदार कपड़ा"
15650,Replace,"का स्थान लेना, स्थान लेना, वापस रख देना, बदलना"
15651,Replacement,"वैकल्पिक, एवज़ी, बदलाव"
15652,Reply,"जवाब देना, जवाब, जवाब देना, जवाब देना"
15653,Report back,"वापस आना, विवरण प्रस्तुत करना"
15654,Report card,विद्यालयी सूचना
15655,Reported question,अप्रत्यक्ष प्रश्न
15656,Reported speech,असाक्षात्कथन
15657,Report,"विवरण देना, समाचार-विवरण, समाचार, खबर, विवरण, वर्णन करना, सूचना देना, रिपोर्ट, आवाज, प्रतिवेदन, रिपोर्ट, हाजिर होना, सूचना देना, सूचना, जानकारी, गप, रिपोर्ट देना, हाजिरी देना, रिपोर्ट करना, रिपोर्ट देना, रपट लिखना, रिपोर्ट"
15658,Reporter,सम्वाददाता
15659,Repose,"नींद, आराम करना, शान्ति, लेटना, रख देना, रख देना"
15660,Repose in,विश्वास रखना
15661,Repp,धारीदार कपड़ा
15662,Representation,"प्रस्तुतीकरण, प्रतिनिधित्व, निरूपण"
15663,Representations,अभिवेदन
15664,Representative,"प्रतिनिधि, प्रतिनिधिक, प्रतिनिधिक, नमूना, प्रतिनिधि"
15665,Represent,"प्रस्तुत करना, उपस्थापित करना, भुगतान के लिये फिर भेजना, प्रतीक होना, प्रतिनिधित्व करना, दर्शाना, रखना, पेश करना, प्रस्तुत करना, प्रस्तुत करना, निरुपण करना, प्रस्तुत करना"
15666,Repression,दमन
15667,Reproach,"कलंक, उलाहना, भर्त्सना, भर्त्स्ना करना"
15668,Reproduce,"दोबारा दिखाना, दिखना, प्रतिलिपि तैयार करना, प्रजनन करना, फिर से दिखाई देना"
15669,Reproof,"फटकार, असहमति"
15670,Reprove,"डाँटना, कटु आलोचना करना"
15671,Reproving,"आलोचनात्मक, झिड़की भरा, निन्दात्मक"
15672,Reprovingly,"आलोचनात्मक ढंग से, उलाहने भरे अंदाज़ में, निन्दात्मकता से"
15673,Reptile,सरीसृप
15674,Republic,"लोकतम्त्र, प्रजातंत्र, गणतन्त्र, समाज"
15675,Reputation,"नाम, ख्याति"
15676,Repute,प्रतिष्ठा
15677,Request,"निवेदन करना, विनती करना, निवेदन, विनती, आवेदन, माँग, अनुरोध करना, अनुरोध"
15678,Request stop,"अनुरोध बस स्टॉप, अनुरोध बस-स्थानक"
15679,Require,"चाहना, आदेश देना, जरूरत होना, अपेक्षा रखना, मांग करना"
15680,Requirement,"आवश्यकता, आवश्यक वस्तु, जरुरत, आरक्षित भूखंड, अपेक्षा, माँग"
15681,Rescue,"बचाना, छुड़ाना, बचाव, राहत"
15682,Research,"अन्वेषण, शोध, अनुसंधान, खोज, खोज करना, अनुसंधान करना"
15683,Resemblance,समानता
15684,Resemble,सदृश होना
15685,Reservation,"रक्षण खंडअ, कारण, शर्तअ, आरक्षण"
15686,Reserve,"संकोच, रक्षित स्थान, शरण स्थान, रक्षित करना, प्रतिबंध, वचाकर रखना, अलग छोड़ देना, आरक्षित, आरक्षित करना, सुरक्षित होना, संचय"
15687,Reserves,"अतिरिक्त खिलाड़ी, रक्षित सेना"
15688,Reservoir,"भांडारअ, जलाशय"
15689,Reside,"रहना,  होना"
15690,Reside in,निहित होना
15691,Residence,"निवास की अनुमति, निवास, निवास स्थान"
15692,Resident,"निवासी, निवासी"
15693,Residential,"आवासिक, निवास योग्य"
15694,Residuary,"अवशिष्ट, बाकी"
15695,Residue,"शेष, अवशिष्ट, बची हुई संपत्ति"
15696,Resignation,"समर्पण, स्वेच्छा, इस्तीफ्ॅऑ, त्यागपत्र"
15697,Resign,इस्तीफा देना
15698,Resign to,स्वीकार करना
15699,Resin,"रेज़िन डामर, गंधराल, राल"
15700,Resistance,"प्रतिरोध, प्रतिरोधशक्ति, गुरिल्ला समूह, विरोध, बाधा, प्रतिरोध"
15701,Resist,"प्रतिरोध करना, रोकना, विरोध करना, निवारण करना, का सामना करना, सहन करना, पर क़ाबू पाना"
15702,Resistor,प्रतिरोधक
15703,Resolute,दृढ़
15704,Resolution,"रिजॉल्यूशन, समाधान, प्रस्ताव, प्रस्ताव, दृढ़ता"
15705,Resolve,"फ़ैसला सुनाना, निर्णय देना, समाधान करना, समाधान करना, विघटन करना, संकल्प, निश्चय करना, निश्चय, निश्चयअना"
15706,Resonant circuit,अनुनादक परिपथ
15707,Resonator,"अनुनादक परिपथ, अनुनादक"
15708,Resort,"लौट जाना, शरण, सहारा, सैरगाह होटल"
15709,Resort to,"की सहायता लेना, ना, सहारा लेना"
15710,Resource,"स्रोत, सम्पत्ति, साधन जुटाना, संसाधन, साधन, उपाय कुशलता"
15711,Resources,संसाधन
15712,Respectful,"भध्र, आदरपुर्ण, भध्र"
15713,Respect,"सम्मान, आदर, सम्मान, ध्यान रखना, ध्यान, सम्मान, नमस्कार, ख्याल रखना"
15714,Respective,"निजी, अपना-अपना"
15715,Respectively,"क्रमशः, क्रम से"
15716,Respiration,श्वसन
15717,Respondent,"प्रतिक्रियादाता, जवाबी, प्रत्यर्थी"
15718,Respond,"जवाब देना, प्रतिक्रिया दिखाना, प्रत्युत्तर देना"
15719,Respond to,"का जवाब देना, पर प्रतिक्रिया दिखाना, ठीक होना"
15720,Response,"उत्तर, धार्मिक भजन, प्रतिक्रिया, जवाबअ"
15721,Responsibility,"जिम्मेवारी, उत्तरदायित्व, जिम्मेदारी"
15722,Responsible,"जिम्मेदार, जिम्मेदार, उत्तरदायित्वपुर्ण, उत्तरदायी, जिम्मेदार, जवावदेह"
15723,Responsible person,संबंधित व्यक्तीई
15724,Rest,"बाकी, शेष, आराम, चिर निद्रा, शाश्वत निद्रा, रेस्टना, सहारा देना, फुसऋत का समय, सहारा देना, सुरक्षित पुंजी, बीच में ही समाप्त करना, मध्यान्तर चिन्ह, अवशेष, विश्राम, बाकी रहना, शेष भाग, कब्र, स्थिर, शान्त्, शेष, बाकी, लेटना, बाकी लोग, शेष जन, शान्त होना, आराम करना, न खिलाया जाना, सहारा देना, भाले की टेक, कार्य निवृत्ति, स्थिर होना, टिकाना, टेक लगाना, टिकना, विराम, विराम, नियत मध्यान्तर, ठहराव, नींद, अवशेष"
15725,Rest assured,निश्चित होना
15726,Restaurant,"भोजनालय, भोजनालय"
15727,Restaurnant car,भोजनयान
15728,Rest day,विश्राम-दिन
15729,Rest home,विश्रान्ति-गृह
15730,Resting place,विश्राम स्थान
15731,Restitution,"वापसी, क्षतिपूर्ति"
15732,Rest on,"टिकाना, पर निर्भर होना, टिकना, आश्रित होना, पर आधारित होना"
15733,Restoration,"नवीनीकरण, वापसी, वापसी, मरम्मत, पुनःप्रचलन, पुनःस्थापन"
15734,Restore,"फिर से चालू करना, वापस लौटाना, मरम्मत करना, पुनः प्रचलन में लाना, पुनः स्थापित करना, पुनः निर्माण करना, बहाल करना, पहले जैसा कर देना, लागू करना, फिर से प्राप्त करना"
15735,Restrain,"नियन्ट्रित करना, रोकना"
15736,Restrict,"बाधित करना, सीमित करना"
15737,Restriction,"प्रतिबन्ध, रोक"
15738,Restrictive practices,प्रतिबन्धनात्मक पद्धति
15739,Rest room,पाखाना युक्त विश्राम कक्ष
15740,Rest stop,कार स्थानक
15741,Rest with,निर्भर करना
15742,Result from,"के कारण घटिट होना, के परिणामस्वरूप"
15743,Result,"परिणाम, जीत, उत्तर, परिणाम, परिणाम निकालना"
15744,Result in,"परिणित होना, बदलना, का कारण बनना"
15745,Resurrect,"पुनर्जीवित करना, दुबारा शुरू करना, पुनर्जीवित होना"
15746,Resurrection,"पुनर्जीवन, पुनरुत्थान, पुनर्जागरण"
15747,Retail store,दुकान
15748,Retainer,"शुल्क, प्रतिधारण शुल्क, परिचर, प्रतिधारक"
15749,Retain,"न खोना, बनाये रखना, रहने देना, याद रखना, रोकना, पक्का करना, स्मृति में रखना"
15750,Retard,"धीमा करना, धीमा होना"
15751,Retention,"प्रतिधरण, अवरोधन, स्मरण"
15752,Retired,सेवानिवृत्त
15753,Retire,"बाहर निकल जाना, सेवा निवृत्त होना, पीछे हटना, इस्तीफा देना, सोने जाना, चला जाना"
15754,Retirement,"सेवानिवृत्ति के बाद का समय, सन्यास, सेवानिवृत्ति"
15755,Retort,"प्रत्युत्तर देना, कठोरता से प्रत्युत्तर देना, प्रत्युत्त्र"
15756,Retraction,"प्रतिकर्षण, प्रत्याहार"
15757,Retreat,"आश्रयस्थल, पीछे हटना, भागना, चला जाना, कम होना, गिरना, निर्णय बदलना"
15758,Retrieval,"बचाव, स्मरण-शक्ति**, रिटीवल"
15759,Retriever,रिट्रीवर
15760,Retrieve,"सुधारना, वापस पा लेना, पता लगाना"
15761,Return,"वापस करना, वापस आना, वापस आना, वापस करना, प्रत्युत्तर, वापसी, वापस्, लाभ, फ़ायदा, वापस करना, रिटर्न टीकिट, विवरण, वापसी, वापस भेजना, जवाब देना, बदला चुकाना, मुनाफ़ा, अदा करना"
15762,Return fare,वापसी किराया
15763,Return game,दूसरा मैच
15764,Returning officer,निर्वाचन अधिकारी
15765,Return match,दूसरा मैच
15766,Return ticket,वापसी टिअक्ट
15767,Reunite,"फिर से एक होना, फिर से मिलाना, फिर से एक करना"
15768,Reveal,"प्रकट करना, दिखाना, बताना"
15769,Revelation,"प्रकटीकरण, रहस्योद्घाटन"
15770,Revel in,आनन्द ल् करना
15771,Revenge,"बदला लेना, बदला"
15772,Revenge on,बदला लेना
15773,Revenue,"कर, राजस्व"
15774,Revenues,राजस्व
15775,Reverence,"आदर, श्रद्धा"
15776,Reverend Mother,महिला मठाध्यक्षा
15777,Reverned,आदरणीय
15778,Reverse gear,उल्टा गेयर
15779,Reverse,"तली, पट, उल्टा पल्ला, विपरीत, पीछे की ओर चलना, पीछे की ओर घूमाना, फिर से उठाना, उल्टा गेअर, बदल देना, उल्टा दिखना, संकट, विपरीत भूमिका करना, उल्टा, विपत्ति, रिवर्स, विपरीत, पूर्णतया बदल देना"
15780,Reversible,"प्रतिवर्ती, दुतरफ़ा, पलटवाँ, उलटनीय, विपर्येय, दुतरफ़ा वस्त्र"
15781,Reversing light,पीछे की बत्ती
15782,Revert to,"लौटाना, हटाना, दे देना, वापस आना"
15783,Review,"सर्वेक्षण, समीक्षा करना, पुनःपरीक्षण, पुनर्विचार करना, निरीक्षण करना, समीक्षा, निरीक्षण, सर्वेक्षण, पुनःपरीक्षण करना, समालोचना करना"
15784,Revise,"दोहराना, सुधारना, संशोधित करना, बदलना"
15785,Revision,"आमूल परिवर्तन, पुनर्लेखन, सुधार, दोहराई"
15786,Revisionism,संशोधनवाद
15787,Revival,"पुनर्जागरण, पुनः प्रदर्शन, पुनः प्राप्ति, पुनः प्रचलन"
15788,Revive,"पुनर्जीवित करना, जान डाल देना, फिर से चालू करना, पुनरुज्जीवित होना, पुनः उत्पन्न करना, फिर प्रदर्शित करना, फिर से ताज़ा करना, दोबारा प्रचलित करना, होश में लाना, पुनः प्रचलित करना"
15789,Revoke,"रद्द करना, पत्ता दबाना"
15790,Revolt,"विद्रोह करना, विरोध प्रकट करना, विरोध, से घृणा उत्पन्न करना, विद्रोह"
15791,Revolutionary,"क्रांतिकारी, क्रान्तिकारी"
15792,Revolution,"परिक्रमा, आमूल परिवर्तन, क्रान्ति"
15793,Revolve around,केन्द्रित होना
15794,Revolve,"घूमना, घूमना, घूंअना, परिभ्रमण करना"
15795,Revolver,"रिवॉल्वर, तमंचा, चक्र-द्वार"
15796,Revolving door,चक्र-द्वार
15797,Revolving stage,चक्रदार-मंच
15798,Reward,"ईनाम देना, पुरस्कार, ईनाम, पुरस्कार"
15799,Rhetoric,"वाक्पटुता, शब्दाडम्बर"
15800,Shipping fever,"तंत्रिका ज्वर, नौवहन ज्वर"
15801,Rheumatism,"आमवात, गठिया"
15802,Rheumatoid arthritis,"आमवात, संधिवात गठिया"
15803,Rhomboid,"समांतर असम चतुर्भुजवत्, समांतर असम चतुर्भुज"
15804,Rhombus,समचतुर्भुज
15805,Rhubarb,"रूबाब, रेबन्द चीनी"
15806,Rhumba,रंबा
15807,Rhyme,"तुकबंदी करना, तुकांत, तुकांत कविता, तुक, तुकबंदी होना"
15808,Rhyming slang,तुकबन्दी अपभाषा
15809,Rhythm,"ताल, आवर्तन"
15810,Rhythm section,रीदम सेक्शन
15811,Ribbon,"रिबन, फीता, पट्टी"
15812,Rice,"चावल, चावल"
15813,Rice paper,पारदर्शक खाद्य पन्ना
15814,Rice pudding,खीर
15815,Rich,"धनवान, गहरा, मालदार, समृद्ध, धनी, समृद्ध, धनवान लोग, गाढा, सुरीला, कीमती, मधुर, मीठी, बहुमूल्य, उर्वर, शानदार, उपजाऊ, कीमती, धनवान, कीमती, बहुत काफी, गरिष्ट, पौष्टिक, काफी, पर्याप्त, गाढा, पौष्टिक"
15816,Riches,संपत्ति
15817,Richly,"प्रचुर मात्रा में, धनाढ्यतापूर्वक, पूर्ण रूप से"
15818,Richter scale,रिक्टर पैमाना
15819,Riddle,"पहेली समझाना, पहेलियों में बात करना, भरा होना, चलनी, चलनी से चालना, बूझना, पहेली, छलनी करना, रहस्य"
15820,Ride high,सफल होना
15821,Ride,"घुड़सवारी करना, घुड़सवारी, चढना, सवार होना, याट्रा करना, झूला, सैर, घुड़सवारी, तैरना, सवारी करना, चलाना"
15822,Ride on,निर्भर होना
15823,Ride out,जारी रखना
15824,Ride up,चढा हुआ होना
15825,Ridge,"मंगरा, मेड़, कटक, ऊपर उठाना, पर्वतश्रेणी"
15826,Ridgepole,शहतीर
15827,Rid,"छोड़ना, छुटकारा देना, छुटकारा पाना, मुक्त करना, मुक्त करना"
15828,Ridiculous,"मूर्खतापूर्ण, बेतुका, हास्यास्पद"
15829,Ridiculousness,हास्यास्पदता
15830,Riding crop,घुड़सवारी का चाबुक
15831,Rid of,"से मुक्त करना, मुक्त करना"
15832,Riff raff,निम्न वर्ग
15833,Riff,टुकड़ा
15834,Rifle range,"रायफल का निशाना, रायफल चंदमारी"
15835,Rifle shot,रायफल का निशाना
15836,Rift,"अनबन, दरार"
15837,Rift valley,विभ्रंश-घाटी
15838,Rigamarole,"नीरस और निरर्थक प्रक्रिया, अनाप-शनाप"
15839,Right,"सही, सीधा करना, सुधारना, सुधारना, मुनासिब, अधिकार, ईमानदारी से, उचित रूप से, तुरंत, अधिकार, दक्षिण पन्थ, स्वत्वाधिकार, ठीक तरह से, सीधा करना, पूरी तरह से, सुधारना, सीधा करना, सीधे, दाहिनी, सही, पूरी तरह से, अधिकार, यथार्थ, सही, ठीक तरह से, सही"
15840,Right angled,समकोणीय
15841,Right angle,समकोण
15842,Right bank,नदी का दाहिना तट
15843,Right handed,"धायें हाथ से, धायें हाथ का, दायें हाथ का"
15844,Right hander,"दायंहथ्था, दायें हाथ का प्रहार"
15845,Right hand,"दाहिनी तरफ का, दाहिने हाथ का"
15846,Right Honourable,महाआदरणीय
15847,Right!,ठीक है!
15848,Right minded,"सही ढंग से विचार वाला, न्यायसंगत विचार वाला, समझदार"
15849,Right now,"तुरन्त, अभी"
15850,Right off,तुरन्त
15851,Right oh!,"हाँ, हाँ मैं तैयार हूँ"
15852,Right on,जागरूक
15853,Right Reverend,महामहीम
15854,Rights issue,राइट इशू
15855,Right turn,दाहिना मोड़
15856,Rightward,"दाहिनी ओर का, दाहिनी ओर"
15857,Rightwards,दाहिनी ओर
15858,Right winger,"दायीं तरफ़ खेलनेवाला खिलाड़ी, दक्षीणपंथी"
15859,Right wing,"दायीं ओर, दायीं ओर का खिलाड़ी, दक्षिणपंथी"
15860,Right wing,दक्षिणपंथी
15861,Rig,"हेर-फेर करना, पाल लगाना, गुप्त रूप से लगाना, साज-सामान, मछली पकड़ने का साज-सामान, ट्रेलर ट्रक, धोखा, पोशाक, मस्तूल, पाल आदि की सज्जा, रिग ट्रक, चार पहियों वाली घोड़ागाड़ी, बड़ी लॉरी"
15862,Rigid,"कड़ा, सख्त"
15863,Rigmarole,"नीरस और निरर्थक प्रक्रिया, अनाप-शनाप"
15864,Rigor mortis,शवकाठिन्य
15865,Rig up,बनाना
15866,Rim,"हाल, घिरा होना, किनारा"
15867,Ring,"बजाना, घेरना, वलय, गोला, बजाना, वलय, घेरना, गोला बनाना, बजाना, घेरना, शुरुआत करना, बजाना, बजाना, छल्ला पहनाना, बजाना, बजाना, बजाना, बजाना, नाथना, घेरना, चक्र, चक्करदार मार्ग, टेलेफोन की आवाज, वलय"
15868,Ring back,"फोन करना, टेलीफोन करना"
15869,Ring binder,फाइल्
15870,Ringer,"अवैध प्रतियोगी, घंटा बजाने वाला"
15871,Dead ringer,प्रतिरूप
15872,Ring finger,अनामिका
15873,Ringleader,सरगना
15874,Ringlet,"छोटे-छोटे छल्लों से युक्त चक्र, छोटी अंगूठी, छल्ला, घूँघराले बाल, रिंगलेट तितली"
15875,Ringmaster,सरकस के खेल का प्रबंधक
15876,Ring off,फोन रख देना
15877,Ring out,जोर से आवाज होना
